precision,recall,f1,iou
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.006329113924050633,5.6863414079381326e-05,0.00011271415689810641,5.6360254748351465e-05
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
1.0,0.00018811136192626034,0.0003761519653940192,0.00018811136192626034
1.0,0.14176766765617568,0.24833014924515565,0.14176766765617568
0.6475409836065574,0.0017113643256358043,0.0034137066804943396,0.001709771669732713
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.003576105570665861,0.01328095772540217,0.005634920634920636,0.002825420828524812
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.9999278551331072,0.7064580253835567,0.8279569892473118,0.7064220183486238
1.0,0.05460500137736831,0.10355536206646351,0.05460500137736831
1.0,0.5770591623467457,0.7318167588437859,0.5770591623467457
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.24,0.0012631578947368421,0.002513089005235602,0.0012581253931641854
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.44040790312300826,0.06946468962050767,0.12000173663873573,0.06383076994134221
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.9022346368715084,0.09314396943262923,0.16885577991243547,0.09221326100920706
0.9853875272680611,0.9771433115953555,0.9812481032472408,0.963186528903592
1.0,0.37879694747867726,0.5494600900754246,0.37879694747867726
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
1.0,0.0009389671361502347,0.001876172607879925,0.0009389671361502347
1.0,0.008096535616971585,0.016063016449146653,0.008096535616971585
0.8821291299452576,0.854205045302455,0.8679425471770189,0.7666947865699342
0.8273595143355928,0.9700713640303159,0.8930499439785421,0.8067662485047389
0.9918493437587266,0.9216659368462025,0.9554705560926401,0.9147377909409908
1.0,0.5725339432575794,0.728167357801572,0.5725339432575794
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.8875,0.14343434343434344,0.24695652173913044,0.14087301587301587
1.0,0.51818009956519,0.6826332392495433,0.51818009956519
1.0,0.18000889284126279,0.30509751906671084,0.18000889284126279
1.0,0.8385009765625,0.9121572272757453,0.8385009765625
1.0,0.53533935546875,0.6973563903796461,0.53533935546875
0.9232509544533299,0.9713860649640467,0.9467070498775616,0.8988069746099725
0.9659604102477525,0.8379189777948634,0.8973954299942164,0.8138869132290185
1.0,0.7912374804196136,0.8834534661861353,0.7912374804196136
1.0,0.5083037814683473,0.6740071697937521,0.5083037814683473
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.94843617920541,0.42347612757123987,0.585518590998043,0.4139457664637521
0.9942106290249139,0.41285791464073474,0.5834367186456206,0.41186774097927725
1.0,0.9716339111328125,0.9856129027265058,0.9716339111328125
1.0,0.9683685302734375,0.9839301079853332,0.9683685302734375
1.0,0.9490814208984375,0.9738756018319177,0.9490814208984375
0.9851466016970511,0.9432423301533165,0.9637391718855302,0.9300160208111924
0.9979871963322244,0.8906936127744511,0.9412927977218495,0.8890964335525005
0.27478042659974905,0.0622070728589689,0.10144759698899826,0.05343418323776992
0.7102658318023322,0.9786129407206509,0.8231204579771229,0.6994092671220232
0.9949178065001882,0.9755452336276108,0.9851362895084259,0.9707079673104588
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.9986454453098544,0.743195564516129,0.8521889900303423,0.7424471299093656
0.9956498792521631,0.9551389251139171,0.9749737678730835,0.9511695772409895
0.9798111883651209,0.6259882631021273,0.7639189357205023,0.6180168581142248
0.6195567144719687,0.5872224739465337,0.6029564150823694,0.4315945626835397
0.24510999204876757,0.4874551971326165,0.32619660682162893,0.19488346609348
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.5828937452901282,0.8596832453459294,0.6947344785000562,0.5322552898675382
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.8250627534273026,0.5811233510131919,0.6819342483242898,0.5173749848649958
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
1.0,0.061937244201909956,0.11664953751284686,0.061937244201909956
1.0,0.020095805584764575,0.039399839651815365,0.020095805584764575
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.2436164092578661,0.7562852040115401,0.36852322934797166,0.22588322186204915
0.13043478260869565,0.00014372634503904565,0.0002871362940275651,0.0001435887617862442
0.7636836679593539,0.6265657094526562,0.6883628318584071,0.5248119286172115
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.9354838709677419,0.005974454058508447,0.01187308085977482,0.005971993410214168
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.7901695889623455,0.6133422579205712,0.6906167566888581,0.5274366845740599
0.6584690223633538,0.7705566097406704,0.7101169441509708,0.5505281590690844
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.6949366644443664,0.9070715398003114,0.7869588540321459,0.6487486897274634
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.756501857673621,0.27867558035479284,0.407309097903443,0.2557364378532438
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
1.0,0.0013170498084291188,0.0026306349396149706,0.0013170498084291188
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.5686050461690497,0.8927896038403724,0.6947400196211607,0.5322617946345976
0.11753938050965847,0.7937540663630449,0.20475810850501405,0.1140559996260459
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.6086472602739726,0.9722817415090039,0.7486441421676173,0.598266382405745
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.6698677892521213,0.37630713520304476,0.481900345431316,0.3174365687924693
1.0,0.002008032128514056,0.004008016032064128,0.002008032128514056
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.5385310054184227,0.9440633245382586,0.685834770941154,0.5218786464410735
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
